code_name,p,logical_error_rate,num_trials,num_logical_errors,std_error
bit_flip_3,0.001,0.0,20000,0,0.0
bit_flip_3,0.003,0.0,20000,0,0.0
bit_flip_3,0.01,0.0003,20000,6,0.00012245611458804333
bit_flip_3,0.03,0.00245,20000,49,0.0003495709870684351
bit_flip_3,0.1,0.02855,20000,571,0.0011776013226045563
bit_flip_3,0.2,0.10445,20000,2089,0.00216263956197051
phase_flip_3,0.001,0.0,20000,0,0.0
phase_flip_3,0.003,0.0,20000,0,0.0
phase_flip_3,0.01,0.00025,20000,5,0.00011178942257655686
phase_flip_3,0.03,0.00235,20000,47,0.00034237972340662933
phase_flip_3,0.1,0.02555,20000,511,0.0011157328869402388
phase_flip_3,0.2,0.105,20000,2100,0.002167660028694537
steane_7_1_3,0.001,0.0,20000,0,0.0
steane_7_1_3,0.003,0.0002,20000,4,9.998999949994999e-05
steane_7_1_3,0.01,0.0018,20000,36,0.0002997298783905268
steane_7_1_3,0.03,0.01335,20000,267,0.0008115348883443028
steane_7_1_3,0.1,0.11515,20000,2303,0.0022571051980357494
steane_7_1_3,0.2,0.3259,20000,6518,0.0033142811437776366
shor_9_1_3,0.001,0.0,20000,0,0.0
shor_9_1_3,0.003,0.00015,20000,3,8.659604494432757e-05
shor_9_1_3,0.01,0.00155,20000,31,0.00027817238360412414
shor_9_1_3,0.03,0.0098,20000,196,0.0006965615550688969
shor_9_1_3,0.1,0.09635,20000,1927,0.0020864644437420927
shor_9_1_3,0.2,0.28555,20000,5711,0.0031938315351627425
