distance,p,rounds,num_shots,num_logical_errors,logical_error_rate,logical_error_rate_per_round,std_error
3,0.002,3,10000,29,0.0029,0.0009676026195217791,0.0005377350648786073
3,0.003,3,10000,64,0.0064,0.00213790069554054,0.0007974358908401352
3,0.005,3,10000,188,0.0188,0.006306353155375866,0.0013581811366677127
3,0.007,3,10000,318,0.0318,0.01071438811551173,0.001754672619037523
3,0.01,3,10000,622,0.0622,0.021178704370997226,0.0024151844650046918
3,0.013,3,10000,902,0.0902,0.031018889686674878,0.0028646807850090383
3,0.016,3,10000,1238,0.1238,0.04309736693023747,0.0032935324501209944
3,0.02,3,10000,1679,0.1679,0.05942844477564091,0.0037377746052965795
5,0.002,5,10000,13,0.0013,0.0002601353055520228,0.00036032069049667407
5,0.003,5,10000,33,0.0033,0.0006608729289706572,0.0005735076285456019
5,0.005,5,10000,124,0.0124,0.002492393119889025,0.0011066273085370702
5,0.007,5,10000,368,0.0368,0.007470794726550767,0.001882704437770305
5,0.01,5,10000,882,0.0882,0.018297453424583665,0.0028358554264983253
5,0.013,5,10000,1473,0.1473,0.031367018253799395,0.003544047262664537
5,0.016,5,10000,2130,0.213,0.046776048028237094,0.0040942764928617115
5,0.02,5,10000,2999,0.2999,0.06882348214198841,0.004582139129271393
7,0.002,7,10000,3,0.0003,4.2862654084707685e-05,0.00017317909804592468
7,0.003,7,10000,15,0.0015,0.00021442359744039408,0.0003870077518603471
7,0.005,7,10000,106,0.0106,0.0015212103831047097,0.0010240917927607856
7,0.007,7,10000,334,0.0334,0.004841174921310087,0.0017967871326342471
7,0.01,7,10000,1070,0.107,0.01603697304863838,0.0030911324785586267
7,0.013,7,10000,2020,0.202,0.03172122282569234,0.004014922166119787
7,0.016,7,10000,2995,0.2995,0.04958025870919924,0.004580390267215229
7,0.02,7,10000,4045,0.4045,0.07137525465754369,0.004907950183121259
